"id_average","id_stddev","C_[0]_average","C_[0]_stddev","C_[1]_average","C_[1]_stddev","Cd_[0]_average","Cd_[0]_stddev","Cd_[1]_average","Cd_[1]_stddev","v_average:0","v_average:1","v_average:2","v_stddev:0","v_stddev:1","v_stddev:2","c_rhoatom_average","c_rhoatom_stddev","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
108,0,986219.4394923256,16550.08194142218,1.272694067238619e-27,1.183922194548882e-28,986365.125,32981.93359375,0,0,0,0,0,0,0,0,1000,0,1,0.2365714907646179,-0.420571506023407,0,0
109,0,908700.7647058824,21230.78614966652,1.403149019607843e-21,1.305277764182242e-22,914162.25,36879.3515625,0,0,0,0,0,0,0,0,1000,0,1,0.2497143447399139,-0.407428652048111,0,0
109,0,908700.7647058821,21230.78614966654,1.403149019607838e-21,1.305277764182238e-22,914162.25,36879.3515625,0,0,0,0,0,0,0,0,1000,0,1,0.26285719871521,-0.3942857980728149,0,0
110,0,832486.3482897728,25259.40858283983,6.363470236493362e-28,5.919610879998845e-29,828676.5625,29197.50390625,0,0,0,0,0,0,0,0,1000,0,1,0.276000052690506,-0.3811429440975189,0,0
110,0,832486.3137254902,25259.41040987532,0,0,828676.5,29197.5,0,0,0,0,0,0,0,0,1000,0,1,0.289142906665802,-0.3680000901222229,0,0
111,0,757824.2156862745,28513.87867737375,1.012337607843137e-17,1.335486767955648e-18,760004.5,37572.02734375,0,0,0,0,0,0,0,0,1000,0,1,0.3022857904434204,-0.3548572063446045,0,0
111,0,757824.2156862745,28513.87867737375,1.012337607843137e-17,1.335486767955648e-18,760004.5,37572.02734375,0,0,0,0,0,0,0,0,1000,0,1,0.3154286444187164,-0.3417143523693085,0,0
111,0,757824.2156862742,28513.87867737376,1.012337607843134e-17,1.335486767955643e-18,760004.5,37572.02734375,0,0,0,0,0,0,0,0,1000,0,1,0.3285714983940125,-0.3285714983940125,0,0
112,0,684909.9742440785,30896.50074530178,4.591087722523669e-24,6.056612790487232e-25,684559.0625,33269.41796875,0,0,0,0,0,0,0,0,1000,0,1,0.3417143523693085,-0.3154286444187164,0,0
112,0,684909.9411764706,30896.50182585354,0,0,684559,33269.41796875,0,0,0,0,0,0,0,0,1000,0,1,0.3548572063446045,-0.3022857904434204,0,0
113,0,614149.9607843137,32335.02637732017,1.529718882352941e-14,2.869704140139178e-15,615382.3125,32593.181640625,0,0,0,0,0,0,0,0,1000,0,1,0.3680000901222229,-0.289142906665802,0,0
113,0,614149.9295916992,32335.02658362536,1.529718188604765e-14,2.869702838689588e-15,615382.3125,32593.185546875,0,0,0,0,0,0,0,0,1000,0,1,0.3811429440975189,-0.276000052690506,0,0
114,0,545370.0588235294,32789.93055767169,0,0,551850.4375,39314.2109375,0,0,0,0,0,0,0,0,1000,0,1,0.3942857980728149,-0.26285719871521,0,0
114,0,545370.0588235294,32789.93055767169,0,0,551850.4375,39314.2109375,0,0,0,0,0,0,0,0,1000,0,1,0.407428652048111,-0.2497143447399139,0,0
115,0,478605.3529411764,32250.0468908755,4.016209019607843e-11,1.33791516565851e-11,487910.34375,46403.3046875,0,0,0,0,0,0,0,0,1000,0,1,0.420571506023407,-0.2365714758634567,0,0
115,0,478605.3529411764,32250.0468908755,4.016209019607843e-11,1.33791516565851e-11,487910.34375,46403.3046875,0,0,0,0,0,0,0,0,1000,0,1,0.4337143898010254,-0.2234286218881607,0,0
116,0,413556.862745098,30736.19132708031,7.409017647058824e-09,3.042412378384529e-09,411696.09375,37763.9296875,0,0,0,0,0,0,0,0,1000,0,1,0.4468572437763214,-0.2102857530117035,0,0
116,0,413556.862745098,30736.19132708031,7.409017647058824e-09,3.042412378384529e-09,411696.09375,37763.9296875,0,0,0,0,0,0,0,0,1000,0,1,0.4600000977516174,-0.1971428990364075,0,0
117,0,350623.6952077207,28307.3040494128,1.453830354661075e-07,1.561679440674859e-08,352727.9375,38269.76953125,0,0,0,0,0,0,0,0,1000,0,1,0.4731429517269135,-0.1840000450611115,0,0
117,0,350623.6666666667,28307.30294787913,1.453830980392157e-07,1.561680010940319e-08,352727.90625,38269.76953125,0,0,0,0,0,0,0,0,1000,0,1,0.4862858057022095,-0.1708571761846542,0,0
117,0,350623.6666666667,28307.30294787913,1.453830980392157e-07,1.561680010940319e-08,352727.90625,38269.76953125,0,0,0,0,0,0,0,0,1000,0,1,0.4994286894798279,-0.1577143222093582,0,0
118,0,289419.294117647,25026.40298728769,1.987916543137255e-06,1.639144630817773e-06,293015.1875,26917.248046875,0,0,0,0,0,0,0,0,1000,0,1,0.5125715732574463,-0.144571453332901,0,0
118,0,289419.294117647,25026.40298728769,1.987916543137255e-06,1.639144630817773e-06,293015.1875,26917.248046875,0,0,0,0,0,0,0,0,1000,0,1,0.5257143974304199,-0.131428599357605,0,0
119,0,229749.705882353,20994.23798008576,0.0003470229411764705,0.0001569930568390309,233878.921875,26715.158203125,0,0,0,0,0,0,0,0,1000,0,1,0.5388572812080383,-0.1182857379317284,0,0
119,0,229749.6925909969,20994.23692035315,0.0003470313928152056,0.0001569944689152202,233878.90625,26715.15625,0,0,0,0,0,0,0,0,1000,0,1,0.552000105381012,-0.1051428765058517,0,0
