"id_average","id_stddev","C_[0]_average","C_[0]_stddev","C_[1]_average","C_[1]_stddev","Cd_[0]_average","Cd_[0]_stddev","Cd_[1]_average","Cd_[1]_stddev","v_average:0","v_average:1","v_average:2","v_stddev:0","v_stddev:1","v_stddev:2","c_rhoatom_average","c_rhoatom_stddev","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
554,0,1158103.237753198,92584.3270410259,2.394207063115201e-14,1.790285134562932e-16,1156984.125,133114.125,0,0,0,0,0,0,0,0,1000,0,1,0.4586664140224457,-0.1146666035056114,-1.110223024625157e-16,0
555,0,1026140.895157758,83915.8618357659,1.84237892383972e-07,1.377651770557656e-09,1034668.0625,108390.453125,0,0,0,0,0,0,0,0,1000,0,1,0.4701330661773682,-0.1031999439001083,-1.110223024625157e-16,0
556,0,895264.8661466385,74676.30891573467,4.788444758913677e-15,3.58059317492977e-17,904190.0625,105115.25,0,0,0,0,0,0,0,0,1000,0,1,0.481599748134613,-0.09173328429460526,-1.110223024625157e-16,0
557,0,765356.8566427249,64929.52217440082,0.0001112471649051327,8.30757604784279e-07,769300.5,86107.828125,0,0,0,0,0,0,0,0,1000,0,1,0.4930664002895355,-0.08026662468910217,-1.110223024625157e-16,0
558,0,636289.5136776924,54741.41776808992,2.023953534797291e-11,1.511422598676306e-13,644447.5,84446.703125,0,0,0,0,0,0,0,0,1000,0,1,0.504533052444458,-0.06879996508359909,-1.110223024625157e-16,0
559,0,507930.8544423044,44181.25604959757,0.0669746368247344,0.0004907078861826818,509557.71875,81545.78125,7.165183433244238e-06,5.066549783805385e-05,0,0,0,0,0,0,1000,0,1,0.5159997344017029,-0.05733330175280571,-1.110223024625157e-16,0
560,0,380148.1585233271,33321.37812464623,8.703594175006446e-10,6.376924911121012e-12,376543.125,58152.515625,110.2745132446289,779.758544921875,0,0,0,0,0,0,1000,0,1,0.527466356754303,-0.04586664214730263,-1.110223024625157e-16,0
560,0,380148.1568627451,33321.37798351822,0,0,376543.125,58152.515625,110.2745132446289,779.758544921875,0,0,0,0,0,0,1000,0,1,0.5389330387115479,-0.03439998254179955,-1.110223024625157e-16,0
561,0,252891.4321994332,22242.34530227726,35.6561291800796,0.0519205396086122,245844.59375,47079.18359375,110.2745132446289,1757.486206054688,0,0,0,0,0,0,1000,0,1,0.5503997206687927,-0.02293332107365131,-1.110223024625157e-16,0
562,0,127251.9611925127,11137.23151865706,891.3758991805756,23.33426268028953,115807.8203125,30427.984375,3308.450927734375,4877.47265625,0,0,0,0,0,0,1000,0,1,0.5618663430213928,-0.01146666053682566,-1.110223024625157e-16,0
563,0,21392.67647058824,1129.984654865134,21392.67647058824,1129.984654865134,29226.98046875,15674.861328125,26910.78515625,12268.90625,0,0,0,0,0,0,1000,0,1,0.5733330249786377,1.998401444325282e-15,-1.110223024625157e-16,0
